16
 0	5	5	3	10	8	7	0	11	7	25	5	5	5	6	1 
 5	0	1	4	16	14	13	6	17	13	31	11	10	11	12	6 
 5	1	0	4	16	13	12	5	16	12	30	10	10	10	12	5 
 3	4	4	0	12	11	10	2	14	11	28	8	7	8	8	4 
 10	16	16	12	0	4	5	10	7	8	15	6	6	6	4	10 
 8	14	13	11	4	0	1	8	4	3	17	3	3	2	2	7 
 7	13	12	10	5	1	0	7	4	2	18	2	2	2	3	6 
 0	6	5	2	10	8	75	0	11	8	25	5	5	5	6	2 
 11	17	16	14	7	4	4	11	0	3	15	6	6	7	7	10 
 7	13	12	11	8	3	2	8	3	0	18	3	3	4	5	6 
 25	31	30	28	15	17	18	25	15	18	0	20	20	20	19	24 
 5	11	10	8	6	3	2	5	6	3	20	0	0	0	3	4 
 5	10	10	7	6	3	2	5	6	3	20	0	0	0	2	4 
 5	11	10	8	6	2	2	5	7	4	20	0	0	0	2	4 
 6	12	12	8	4	2	3	6	7	5	19	3	2	2	0	6 
 1	6	5	4	10	7	6	2	10	6	24	4	4	4	6	0
