100	4.30E-05
200	8.60E-05
300	0.000121
400	0.00016
500	0.000213
600	0.000246
700	0.000287
800	0.00032
900	0.000365
1000	0.000436
1100	0.00044
1200	0.000564
1300	0.000518
1400	0.000561
1500	0.000596
1600	0.000635
1700	0.000687
1800	0.000718
1900	0.000755
2000	0.000804
2100	0.00084
2200	0.00095
2300	0.000911
2400	0.001018
2500	0.000992
2600	0.001031
2700	0.00107
2800	0.001116
2900	0.001151
3000	0.0012
3100	0.001225
3200	0.00134
3300	0.001376
3400	0.001398
3500	0.001394
3600	0.001429
3700	0.001528
3800	0.001515
3900	0.001624
4000	0.001609
4100	0.001621
4200	0.001664
4300	0.001899
4400	0.001797
4500	0.001915
4600	0.002144
4700	0.001914
4800	0.00196
4900	0.001942
5000	0.001974
