100	0.001102
200	0.004477
300	0.010064
400	0.017908
500	0.027962
600	0.04048
700	0.055288
800	0.072195
900	0.090393
1000	0.113926
1100	0.135757
1200	0.161042
1300	0.189647
1400	0.22052
1500	0.250416
1600	0.284486
1700	0.320436
1800	0.359159
1900	0.402216
2000	0.441934
2100	0.488621
2200	0.536784
2300	0.585345
2400	0.63771
2500	0.690651
2600	0.745405
2700	0.805139
2800	0.886167
2900	0.930595
3000	0.996237
3100	1.0575
3200	1.13675
3300	1.20124
3400	1.26237
3500	1.34963
3600	1.42761
3700	1.50803
3800	1.59093
3900	1.66716
4000	1.74802
4100	1.84469
4200	1.93538
4300	2.04915
4400	2.14179
4500	2.25431
4600	2.36121
4700	2.4505
4800	2.54544
4900	2.65369
5000	2.75349
